id,producto,variante,seccion,linea
52,Iluminador en Polvo efecto bronceado,Estándar,Color,
53,Iluminador para Ojos Light Peach,Estándar,Color,
54,Labial en Gel,Estándar,Color,
55,Lápiz delineador para cejas,Estándar,Color,
56,Lápiz Labial Hidratante Supreme,Estándar,Color,
57,Máscara de Pestañas Lash Intensity,Estándar,Color,
58,Máscara de Pestañas Máximo Desempeño,Estándar,Color,
59,Máscara Lash Love Fanorama,Estándar,Color,
60,Máscara Lash Love Negra,Estándar,Color,
61,Nuevos! Bálsamos para Labios con Color,Estándar,Color,
62,Paleta de Sombras para Ojos,Estándar,Color,
63,Polvo Fijador con Acabado Sedoso,Estándar,Color,
64,Polvo Latte Contorno,Estándar,Color,
65,Polvo Suelto Traslúcido,Estándar,Color,
66,Pre Base de Maquillaje con FPS15,Estándar,Color,
67,Rubor Chromafussion,Estándar,Color,
68,Rubor en Gel-Crema,Estándar,Color,
69,Sombras Chromafusion,Estándar,Color,
70,Crema Energizante para Pies y Piernas,Estándar,Cuidado del cuerpo,
71,Crema Humectante para Labios,Estándar,Cuidado del cuerpo,
72,Crema para Manos con aromas,Estándar,Cuidado del cuerpo,
73,Crema para Manos con Karité,Estándar,Cuidado del cuerpo,
74,Crema para manos Lavanda y Coco,Estándar,Cuidado del cuerpo,
75,Gel de Ducha,Estándar,Cuidado del cuerpo,
76,Loción Corporal,Estándar,Cuidado del cuerpo,
77,Mascarilla Exfoliante para Labios,Estándar,Cuidado del cuerpo,
78,Set de Labios,Estándar,Cuidado del cuerpo,
79,Set de Manos Té Blanco y Cítricos,Estándar,Cuidado del cuerpo,
80,Spray Corporal Lavanda y Coco,Estándar,Cuidado del cuerpo,
81,Aplicador para Párpados x 2,Estándar,Discontinuos,
82,Bálsamo para Labios con Aroma a Menta de Edición Especial,Estándar,Discontinuos,
83,Brocha para polvo compacto,Estándar,Discontinuos,
84,Cabezal de Masaje Facial Skinvigorate Sonic x 1,Estándar,Discontinuos,
85,Cabezal del Cepillo Limpiador Facial Skinvigorate Sonic x 2,Estándar,Discontinuos,
86,Cepillo Limpiador Facial Skinvigorate Sonic,Estándar,Discontinuos,
87,Compacto Pro Pallete,Estándar,Discontinuos,
88,Corrector Iluminador para Ojos - 6 g (versión anterior),Estándar,Discontinuos,
89,Crema Limpiadora Refrescante para el Cuerpo Satin Body,Estándar,Discontinuos,
90,Crema para Manos con Karité y Durazno,Estándar,Discontinuos,
91,Crema para Manos con Karité y Granada Satin Hands,Estándar,Discontinuos,
92,Fragancia Sólida At Play,Estándar,Discontinuos,
93,Loción Corporal At Play,Estándar,Discontinuos,
94,Loción Corporal Sedosa con Karité Satin Body - 192 g,Estándar,Discontinuos,
95,Mascarilla Revitalizadora para el Cuerpo con Karité Satin Body - 185 g,Estándar,Discontinuos,
96,Polvo con Acabado Mate,Estándar,Discontinuos,
97,Polvo para rostro multifuncional At Play,Estándar,Discontinuos,
98,Set Manos de Seda con Karité y Granada Satin Hands,Estándar,Discontinuos,
99,Set Manos de Seda Satin Hands con Karité y Durazno,Estándar,Discontinuos,
100,Sombra de ojos en barra,Estándar,Discontinuos,
101,Spray Corporal - 147ml,Estándar,Discontinuos,
102,Spray Corporal At Play,Estándar,Discontinuos,
103,Dream Fearlessly,Estándar,Fragancias femeninas,
104,Embrace para ella,Estándar,Fragancias femeninas,
105,Forever Diamonds,Estándar,Fragancias femeninas,
106,Fragancia At Play,Estándar,Fragancias femeninas,
107,Fragancia At Play Pink,Estándar,Fragancias femeninas,
108,Fragancia Belara,Estándar,Fragancias femeninas,
109,Fragancia Blush Scent,Estándar,Fragancias femeninas,
110,Fragancia Confidently You,Estándar,Fragancias femeninas,
111,Fragancia Garden Scent,Estándar,Fragancias femeninas,
112,Fragancia Hello Brilliant,Estándar,Fragancias femeninas,
113,Fragancia Joy Emotion Scent,Estándar,Fragancias femeninas,
114,Fragancia Velvet Scent,Estándar,Fragancias femeninas,
115,Fragancia Wish,Estándar,Fragancias femeninas,
116,Live Fearlessly,Estándar,Fragancias femeninas,
117,Love Fearlessly,Estándar,Fragancias femeninas,
118,Modern Cham,Estándar,Fragancias femeninas,
119,Modern Cham Glam,Estándar,Fragancias femeninas,
120,Pink Diamonds,Estándar,Fragancias femeninas,
121,Pink Diamonds Intense,Estándar,Fragancias femeninas,
122,True Passion,Estándar,Fragancias femeninas,
123,True Passion L'Eau,Estándar,Fragancias femeninas,
124,True Passion Noir,Estándar,Fragancias femeninas,
125,Authentic Hero,Estándar,Fragancias masculinas,
126,Authentic Hero Bold EDT,Estándar,Fragancias masculinas,
127,Authentic Hero Style,Estándar,Fragancias masculinas,
128,Embrace para él,Estándar,Fragancias masculinas,
129,Fragancia Masculina True Optimism EDP - 50ml,Estándar,Fragancias masculinas,
130,Magnetic Passion,Estándar,Fragancias masculinas,
131,Magnetic Passion Edge,Estándar,Fragancias masculinas,
132,Upscale,Estándar,Fragancias masculinas,
133,Upscale Black,Estándar,Fragancias masculinas,
134,Upscale Gentleman,Estándar,Fragancias masculinas,
135,Crema Facial,Hidratante (N/S),Nueva línea,
136,Crema Facial,Matificante (C/G),Nueva línea,
137,Exfoliante Facial,Estándar,Nueva línea,
138,Limpiador Facial,Hidratante (N/S),Nueva línea,
139,Limpiador Facial,Matificante (C/G),Nueva línea,
140,Set,Hidratante (N/S),Nueva línea,
141,Set,Matificante (C/G),Nueva línea,
142,Tónico Balanceador,Estándar,Nueva línea,
143,Agua Micelar,Estándar,Suplementarios,
144,Crema de Noche Extraemoliente,Estándar,Suplementarios,
145,Crema Humectante Intensiva,Estándar,Suplementarios,
146,Desmaquillante de Ojos,Estándar,Suplementarios,
147,Gel Hidratante Libre de Aceite,Estándar,Suplementarios,
148,Gel Refrescante de párpados,Estándar,Suplementarios,
149,Mascarilla Facial con Carbón,Estándar,Suplementarios,
150,Mascarilla Facial Hidratante en Crema,Estándar,Suplementarios,
151,Minimizador de Apariencia de Bolsas para Ojos,Estándar,Suplementarios,
152,Óleo Nutritivo Hidratante,Estándar,Suplementarios,
153,Protector Solar Facial Mineral FPS 30,Estándar,Suplementarios,
154,Protector Solar FPS 50+,Estándar,Suplementarios,
155,Crema de Contorno de Ojos TW,Estándar,TimeWise,
156,Gel Facial Nocturno TW,Estándar,TimeWise,
157,Limpiador Facial 4 en 1 TW,(C/G),TimeWise,
158,Limpiador Facial 4 en 1 TW,(N/S),TimeWise,
159,Loción Facial de Día FPS 30 TW,Estándar,TimeWise,
160,Loción Facial Humectante TW,(C/G),TimeWise,
161,Loción Facial Humectante TW,(N/S),TimeWise,
162,Loción Reafirmante Corporal TW,Estándar,TimeWise,
163,Mascarilla Renovadora en Gel,Estándar,TimeWise,
164,Microexfoliante Refinador,Estándar,TimeWise,
165,Minimizador de Poros,Estándar,TimeWise,
166,Refrescante Líquido Renovador,Estándar,TimeWise,
167,Set AM/PM TimeWise,Estándar,TimeWise,
168,Set Básico TimeWise,(C/G),TimeWise,
169,Set Básico TimeWise,(N/S),TimeWise,
170,Set de Microexfoliación Plus,Estándar,TimeWise,
171,Set Milagroso Avanzado TimeWise,(C/G),TimeWise,
172,Set Milagroso Avanzado TimeWise,(N/S),TimeWise,
173,Set Milagroso Ideal TimeWise,(C/G),TimeWise,
174,Set Milagroso Ideal TimeWise,(N/S),TimeWise,
175,Suero Regenerador C+E,Estándar,TimeWise,
176,Contorno de Ojos TWR,Estándar,TimeWise Repair,
177,Crema de Día FPS 30 TW Repair,Estándar,TimeWise Repair,
178,Crema Facial Nocturna TW Repair,Estándar,TimeWise Repair,
179,Espuma Limpiadora Facial TWR,Estándar,TimeWise Repair,
180,Gel Facial Efecto Peeling,Estándar,TimeWise Repair,
181,Loción Facial Reafirmante TWR,Estándar,TimeWise Repair,
182,Set TimeWise Repair,Estándar,TimeWise Repair,
